movieId,title,title_only
2000,Lethal Weapon (1987),Lethal Weapon 
2005,"Goonies, The (1985)","Goonies, The "
2012,Back to the Future Part III (1990),Back to the Future Part III 
2018,Bambi (1942),Bambi 
2028,Saving Private Ryan (1998),Saving Private Ryan 
2033,"Black Cauldron, The (1985)","Black Cauldron, The "
2046,Flight of the Navigator (1986),Flight of the Navigator 
2048,"Great Mouse Detective, The (1986)","Great Mouse Detective, The "
2054,"Honey, I Shrunk the Kids (1989)","Honey, I Shrunk the Kids "
2058,"Negotiator, The (1998)","Negotiator, The "
2078,"Jungle Book, The (1967)","Jungle Book, The "
2090,"Rescuers, The (1977)","Rescuers, The "
2093,Return to Oz (1985),Return to Oz 
2094,"Rocketeer, The (1991)","Rocketeer, The "
2096,Sleeping Beauty (1959),Sleeping Beauty 
2099,Song of the South (1946),Song of the South 
2105,Tron (1982),Tron 
2115,Indiana Jones and the Temple of Doom (1984),Indiana Jones and the Temple of Doom 
2116,"Lord of the Rings, The (1978)","Lord of the Rings, The "
2137,Charlotte's Web (1973),Charlotte's Web 
2139,"Secret of NIMH, The (1982)","Secret of NIMH, The "
2141,"American Tail, An (1986)","American Tail, An "
2143,Legend (1985),Legend 
2161,"NeverEnding Story, The (1984)","NeverEnding Story, The "
2174,Beetlejuice (1988),Beetlejuice 
2193,Willow (1988),Willow 
2253,Toys (1992),Toys 
2268,"Few Good Men, A (1992)","Few Good Men, A "
2273,Rush Hour (1998),Rush Hour 
2291,Edward Scissorhands (1990),Edward Scissorhands 
2329,American History X (1998),American History X 
2338,I Still Know What You Did Last Summer (1998),I Still Know What You Did Last Summer 
2353,Enemy of the State (1998),Enemy of the State 
2366,King Kong (1933),King Kong 
2387,Very Bad Things (1998),Very Bad Things 
2389,Psycho (1998),Psycho 
2395,Rushmore (1998),Rushmore 
2406,Romancing the Stone (1984),Romancing the Stone 
2414,Young Sherlock Holmes (1985),Young Sherlock Holmes 
2427,"Thin Red Line, The (1998)","Thin Red Line, The "
2450,Howard the Duck (1986),Howard the Duck 
2459,"Texas Chainsaw Massacre, The (1974)","Texas Chainsaw Massacre, The "
2470,Crocodile Dundee (1986),Crocodile Dundee 
2478,¡Three Amigos! (1986),¡Three Amigos! 
2492,20 Dates (1998),20 Dates 
2502,Office Space (1999),Office Space 
2528,Logan's Run (1976),Logan's Run 
2529,Planet of the Apes (1968),Planet of the Apes 
2542,"Lock, Stock & Two Smoking Barrels (1998)","Lock, Stock & Two Smoking Barrels "
2571,"Matrix, The (1999)","Matrix, The "
2580,Go (1999),Go 
2596,SLC Punk! (1998),SLC Punk! 
2616,Dick Tracy (1990),Dick Tracy 
2617,"Mummy, The (1999)","Mummy, The "
2628,Star Wars: Episode I - The Phantom Menace (1999),Star Wars: Episode I - The Phantom Menace 
2640,Superman (1978),Superman 
2641,Superman II (1980),Superman II 
2644,Dracula (1931),Dracula 
2648,Frankenstein (1931),Frankenstein 
2654,"Wolf Man, The (1941)","Wolf Man, The "
2657,"Rocky Horror Picture Show, The (1975)","Rocky Horror Picture Show, The "
2692,Run Lola Run (Lola rennt) (1998),Run Lola Run 
2700,"South Park: Bigger, Longer and Uncut (1999)","South Park: Bigger, Longer and Uncut "
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Ghostbusters 
2761,"Iron Giant, The (1999)","Iron Giant, The "
2797,Big (1988),Big 
2826,"13th Warrior, The (1999)","13th Warrior, The "
2858,American Beauty (1999),American Beauty 
2872,Excalibur (1981),Excalibur 
2899,Gulliver's Travels (1939),Gulliver's Travels 
2916,Total Recall (1990),Total Recall 
2944,"Dirty Dozen, The (1967)","Dirty Dozen, The "
2947,Goldfinger (1964),Goldfinger 
2948,From Russia with Love (1963),From Russia with Love 
2949,Dr. No (1962),Dr. No 
2959,Fight Club (1999),Fight Club 
2985,RoboCop (1987),RoboCop 
2987,Who Framed Roger Rabbit? (1988),Who Framed Roger Rabbit? 
2991,Live and Let Die (1973),Live and Let Die 
2993,Thunderball (1965),Thunderball 
2997,Being John Malkovich (1999),Being John Malkovich 
3033,Spaceballs (1987),Spaceballs 
3034,Robin Hood (1973),Robin Hood 
3052,Dogma (1999),Dogma 
3053,"Messenger: The Story of Joan of Arc, The (1999)","Messenger: The Story of Joan of Arc, The "
3062,"Longest Day, The (1962)","Longest Day, The "
3147,"Green Mile, The (1999)","Green Mile, The "
3168,Easy Rider (1969),Easy Rider 
3176,"Talented Mr. Ripley, The (1999)","Talented Mr. Ripley, The "
3243,Encino Man (1992),Encino Man 
3247,Sister Act (1992),Sister Act 
3253,Wayne's World (1992),Wayne's World 
3273,Scream 3 (2000),Scream 3 
3386,JFK (1991),JFK 
3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),Teenage Mutant Ninja Turtles II: The Secret of the Ooze 
3440,Teenage Mutant Ninja Turtles III (1993),Teenage Mutant Ninja Turtles III 
3441,Red Dawn (1984),Red Dawn 
3448,"Good Morning, Vietnam (1987)","Good Morning, Vietnam "
3450,Grumpy Old Men (1993),Grumpy Old Men 
3479,Ladyhawke (1985),Ladyhawke 
3489,Hook (1991),Hook 
3527,Predator (1987),Predator 
3578,Gladiator (2000),Gladiator 
3617,Road Trip (2000),Road Trip 
3639,"Man with the Golden Gun, The (1974)","Man with the Golden Gun, The "
3671,Blazing Saddles (1974),Blazing Saddles 
3702,Mad Max (1979),Mad Max 
3703,"Road Warrior, The (Mad Max 2) (1981)","Road Warrior, The "
3729,Shaft (1971),Shaft 
3740,Big Trouble in Little China (1986),Big Trouble in Little China 
3744,Shaft (2000),Shaft 
3793,X-Men (2000),X-Men 
3809,What About Bob? (1991),What About Bob? 
4006,Transformers: The Movie (1986),Transformers: The Movie 
5060,M*A*S*H (a.k.a. MASH) (1970),M*A*S*H 
318,"Shawshank Redemption, The (1994)","Shawshank Redemption, The "
1704,Good Will Hunting (1997),Good Will Hunting 
6874,Kill Bill: Vol. 1 (2003),Kill Bill: Vol. 1 
8798,Collateral (2004),Collateral 
46970,Talladega Nights: The Ballad of Ricky Bobby (2006),Talladega Nights: The Ballad of Ricky Bobby 
48516,"Departed, The (2006)","Departed, The "
58559,"Dark Knight, The (2008)","Dark Knight, The "
60756,Step Brothers (2008),Step Brothers 
68157,Inglourious Basterds (2009),Inglourious Basterds 
71535,Zombieland (2009),Zombieland 
74458,Shutter Island (2010),Shutter Island 
77455,Exit Through the Gift Shop (2010),Exit Through the Gift Shop 
79132,Inception (2010),Inception 
80489,"Town, The (2010)","Town, The "
80906,Inside Job (2010),Inside Job 
86345,Louis C.K.: Hilarious (2010),Louis C.K.: Hilarious 
89774,Warrior (2011),Warrior 
91529,"Dark Knight Rises, The (2012)","Dark Knight Rises, The "
91658,"Girl with the Dragon Tattoo, The (2011)","Girl with the Dragon Tattoo, The "
99114,Django Unchained (2012),Django Unchained 
106782,"Wolf of Wall Street, The (2013)","Wolf of Wall Street, The "
109487,Interstellar (2014),Interstellar 
112552,Whiplash (2014),Whiplash 
114060,The Drop (2014),The Drop 
115713,Ex Machina (2015),Ex Machina 
122882,Mad Max: Fury Road (2015),Mad Max: Fury Road 
131724,The Jinx: The Life and Deaths of Robert Durst (2015),The Jinx: The Life and Deaths of Robert Durst 
31,Dangerous Minds (1995),Dangerous Minds 
647,Courage Under Fire (1996),Courage Under Fire 
688,Operation Dumbo Drop (1995),Operation Dumbo Drop 
720,Wallace & Gromit: The Best of Aardman Animation (1996),Wallace & Gromit: The Best of Aardman Animation 
849,Escape from L.A. (1996),Escape from L.A. 
914,My Fair Lady (1964),My Fair Lady 
1093,"Doors, The (1991)","Doors, The "
1124,On Golden Pond (1981),On Golden Pond 
1263,"Deer Hunter, The (1978)","Deer Hunter, The "
1272,Patton (1970),Patton 
1302,Field of Dreams (1989),Field of Dreams 
1371,Star Trek: The Motion Picture (1979),Star Trek: The Motion Picture 
2080,Lady and the Tramp (1955),Lady and the Tramp 
2288,"Thing, The (1982)","Thing, The "
2424,You've Got Mail (1998),You've Got Mail 
2851,Saturn 3 (1980),Saturn 3 
3024,Piranha (1978),Piranha 
3210,Fast Times at Ridgemont High (1982),Fast Times at Ridgemont High 
3949,Requiem for a Dream (2000),Requiem for a Dream 
4518,The Lair of the White Worm (1988),The Lair of the White Worm 
5048,Snow Dogs (2002),Snow Dogs 
5181,Hangar 18 (1980),Hangar 18 
5746,Galaxy of Terror (Quest) (1981),Galaxy of Terror 
5764,Looker (1981),Looker 
5919,Android (1982),Android 
6238,Green Card (1990),Green Card 
6835,Alien Contamination (1980),Alien Contamination 
7899,Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),Master of the Flying Guillotine 
7991,Death Race 2000 (1975),Death Race 2000 
26409,"Clonus Horror, The (1979)","Clonus Horror, The "
70946,Troll 2 (1990),Troll 2 
72378,2012 (2009),2012 
21,Get Shorty (1995),Get Shorty 
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Twelve Monkeys 
45,To Die For (1995),To Die For 
52,Mighty Aphrodite (1995),Mighty Aphrodite 
58,"Postman, The (Postino, Il) (1994)","Postman, The "
106,Nobody Loves Me (Keiner liebt mich) (1994),Nobody Loves Me 
125,Flirting With Disaster (1996),Flirting With Disaster 
126,"NeverEnding Story III, The (1994)","NeverEnding Story III, The "
162,Crumb (1994),Crumb 
171,Jeffrey (1995),Jeffrey 
176,Living in Oblivion (1995),Living in Oblivion 
190,Safe (1995),Safe 
215,Before Sunrise (1995),Before Sunrise 
222,Circle of Friends (1995),Circle of Friends 
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Eat Drink Man Woman 
247,Heavenly Creatures (1994),Heavenly Creatures 
265,Like Water for Chocolate (Como agua para chocolate) (1992),Like Water for Chocolate 
319,Shallow Grave (1994),Shallow Grave 
342,Muriel's Wedding (1994),Muriel's Wedding 
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","Adventures of Priscilla, Queen of the Desert, The "
348,Bullets Over Broadway (1994),Bullets Over Broadway 
351,"Corrina, Corrina (1994)","Corrina, Corrina "
357,Four Weddings and a Funeral (1994),Four Weddings and a Funeral 
368,Maverick (1994),Maverick 
417,Barcelona (1994),Barcelona 
450,With Honors (1994),With Honors 
475,In the Name of the Father (1993),In the Name of the Father 
492,Manhattan Murder Mystery (1993),Manhattan Murder Mystery 
509,"Piano, The (1993)","Piano, The "
538,Six Degrees of Separation (1993),Six Degrees of Separation 
539,Sleepless in Seattle (1993),Sleepless in Seattle 
588,Aladdin (1992),Aladdin 
595,Beauty and the Beast (1991),Beauty and the Beast 
599,"Wild Bunch, The (1969)","Wild Bunch, The "
708,"Truth About Cats & Dogs, The (1996)","Truth About Cats & Dogs, The "
759,Maya Lin: A Strong Clear Vision (1994),Maya Lin: A Strong Clear Vision 
800,Lone Star (1996),Lone Star 
892,Twelfth Night (1996),Twelfth Night 
898,"Philadelphia Story, The (1940)","Philadelphia Story, The "
899,Singin' in the Rain (1952),Singin' in the Rain 
902,Breakfast at Tiffany's (1961),Breakfast at Tiffany's 
904,Rear Window (1954),Rear Window 
908,North by Northwest (1959),North by Northwest 
910,Some Like It Hot (1959),Some Like It Hot 
912,Casablanca (1942),Casablanca 
920,Gone with the Wind (1939),Gone with the Wind 
930,Notorious (1946),Notorious 
937,Love in the Afternoon (1957),Love in the Afternoon 
1046,Beautiful Thing (1996),Beautiful Thing 
1057,Everyone Says I Love You (1996),Everyone Says I Love You 
1077,Sleeper (1973),Sleeper 
1079,"Fish Called Wanda, A (1988)","Fish Called Wanda, A "
1084,Bonnie and Clyde (1967),Bonnie and Clyde 
1086,Dial M for Murder (1954),Dial M for Murder 
1094,"Crying Game, The (1992)","Crying Game, The "
1103,Rebel Without a Cause (1955),Rebel Without a Cause 
1179,"Grifters, The (1990)","Grifters, The "
1183,"English Patient, The (1996)","English Patient, The "
1188,Strictly Ballroom (1992),Strictly Ballroom 
1199,Brazil (1985),Brazil 
1203,12 Angry Men (1957),12 Angry Men 
1211,"Wings of Desire (Himmel über Berlin, Der) (1987)",Wings of Desire 
1225,Amadeus (1984),Amadeus 
1250,"Bridge on the River Kwai, The (1957)","Bridge on the River Kwai, The "
1259,Stand by Me (1986),Stand by Me 
1266,Unforgiven (1992),Unforgiven 
1279,Night on Earth (1991),Night on Earth 
1283,High Noon (1952),High Noon 
1288,This Is Spinal Tap (1984),This Is Spinal Tap 
1304,Butch Cassidy and the Sundance Kid (1969),Butch Cassidy and the Sundance Kid 
1391,Mars Attacks! (1996),Mars Attacks! 
1449,Waiting for Guffman (1996),Waiting for Guffman 
1466,Donnie Brasco (1997),Donnie Brasco 
1597,Conspiracy Theory (1997),Conspiracy Theory 
1641,"Full Monty, The (1997)","Full Monty, The "
1719,"Sweet Hereafter, The (1997)","Sweet Hereafter, The "
1733,Afterglow (1997),Afterglow 
1734,My Life in Pink (Ma vie en rose) (1997),My Life in Pink 
1834,"Spanish Prisoner, The (1997)","Spanish Prisoner, The "
1860,Character (Karakter) (1997),Character 
1883,Bulworth (1998),Bulworth 
1885,"Opposite of Sex, The (1998)","Opposite of Sex, The "
1892,"Perfect Murder, A (1998)","Perfect Murder, A "
1895,Can't Hardly Wait (1998),Can't Hardly Wait 
1907,Mulan (1998),Mulan 
1914,Smoke Signals (1998),Smoke Signals 
1916,Buffalo '66 (a.k.a. Buffalo 66) (1998),Buffalo '66 
1923,There's Something About Mary (1998),There's Something About Mary 
1947,West Side Story (1961),West Side Story 
1966,Metropolitan (1990),Metropolitan 
1968,"Breakfast Club, The (1985)","Breakfast Club, The "
2019,Seven Samurai (Shichinin no samurai) (1954),Seven Samurai 
2076,Blue Velvet (1986),Blue Velvet 
2109,"Jerk, The (1979)","Jerk, The "
2145,Pretty in Pink (1986),Pretty in Pink 
2150,"Gods Must Be Crazy, The (1980)","Gods Must Be Crazy, The "
2186,Strangers on a Train (1951),Strangers on a Train 
2203,Shadow of a Doubt (1943),Shadow of a Doubt 
2204,Saboteur (1942),Saboteur 
2282,Pecker (1998),Pecker 
2324,Life Is Beautiful (La Vita è bella) (1997),Life Is Beautiful 
2336,Elizabeth (1998),Elizabeth 
2351,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Nights of Cabiria 
2359,Waking Ned Devine (a.k.a. Waking Ned) (1998),Waking Ned Devine 
2390,Little Voice (1998),Little Voice 
2467,"Name of the Rose, The (Name der Rose, Der) (1986)","Name of the Rose, The "
2583,Cookie's Fortune (1999),Cookie's Fortune 
2599,Election (1999),Election 
2683,Austin Powers: The Spy Who Shagged Me (1999),Austin Powers: The Spy Who Shagged Me 
2712,Eyes Wide Shut (1999),Eyes Wide Shut 
2762,"Sixth Sense, The (1999)","Sixth Sense, The "
2763,"Thomas Crown Affair, The (1999)","Thomas Crown Affair, The "
2770,Bowfinger (1999),Bowfinger 
2791,Airplane! (1980),Airplane! 
2843,"Black Cat, White Cat (Crna macka, beli macor) (1998)","Black Cat, White Cat "
2874,"Pajama Game, The (1957)","Pajama Game, The "
2921,High Plains Drifter (1973),High Plains Drifter 
2926,Hairspray (1988),Hairspray 
2973,Crimes and Misdemeanors (1989),Crimes and Misdemeanors 
3044,Dead Again (1991),Dead Again 
3060,"Commitments, The (1991)","Commitments, The "
3079,Mansfield Park (1999),Mansfield Park 
3083,All About My Mother (Todo sobre mi madre) (1999),All About My Mother 
3160,Magnolia (1999),Magnolia 
3175,Galaxy Quest (1999),Galaxy Quest 
3204,"Boys from Brazil, The (1978)","Boys from Brazil, The "
3255,"League of Their Own, A (1992)","League of Their Own, A "
3317,Wonder Boys (2000),Wonder Boys 
3358,Defending Your Life (1991),Defending Your Life 
3365,"Searchers, The (1956)","Searchers, The "
3408,Erin Brockovich (2000),Erin Brockovich 
3481,High Fidelity (2000),High Fidelity 
3508,"Outlaw Josey Wales, The (1976)","Outlaw Josey Wales, The "
3538,East is East (1999),East is East 
3591,Mr. Mom (1983),Mr. Mom 
3788,Blow-Up (Blowup) (1966),Blow-Up 
3851,I'm the One That I Want (2000),I'm the One That I Want 
3897,Almost Famous (2000),Almost Famous 
3911,Best in Show (2000),Best in Show 
3967,Billy Elliot (2000),Billy Elliot 
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","Crouching Tiger, Hidden Dragon "
4002,"Planes, Trains & Automobiles (1987)","Planes, Trains & Automobiles "
4014,Chocolat (2000),Chocolat 
4020,"Gift, The (2000)","Gift, The "
4021,Before Night Falls (2000),Before Night Falls 
4027,"O Brother, Where Art Thou? (2000)","O Brother, Where Art Thou? "
4029,State and Main (2000),State and Main 
4033,Thirteen Days (2000),Thirteen Days 
4034,Traffic (2000),Traffic 
4074,"Legend of Rita, The (Stille nach dem Schuß, Die) (1999)","Legend of Rita, The "
4121,Innerspace (1987),Innerspace 
4144,In the Mood For Love (Fa yeung nin wa) (2000),In the Mood For Love 
4166,Series 7: The Contenders (2001),Series 7: The Contenders 
4226,Memento (2000),Memento 
4239,Blow (2001),Blow 
4246,Bridget Jones's Diary (2001),Bridget Jones's Diary 
4252,"Circle, The (Dayereh) (2000)","Circle, The "
4260,"Visit, The (2000)","Visit, The "
4273,Under the Sand (2000),Under the Sand 
4308,Moulin Rouge (2001),Moulin Rouge 
4347,Divided We Fall (Musíme si pomáhat) (2000),Divided We Fall 
4381,"Closet, The (Placard, Le) (2001)","Closet, The "
4641,Ghost World (2001),Ghost World 
4741,Together (Tillsammans) (2000),Together 
4765,L.I.E. (2001),L.I.E. 
4881,"Man Who Wasn't There, The (2001)","Man Who Wasn't There, The "
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Harry Potter and the Sorcerer's Stone 
4902,"Devil's Backbone, The (Espinazo del diablo, El) (2001)","Devil's Backbone, The "
4967,No Man's Land (2001),No Man's Land 
34,Babe (1995),Babe 
36,Dead Man Walking (1995),Dead Man Walking 
39,Clueless (1995),Clueless 
150,Apollo 13 (1995),Apollo 13 
153,Batman Forever (1995),Batman Forever 
253,Interview with the Vampire: The Vampire Chronicles (1994),Interview with the Vampire: The Vampire Chronicles 
261,Little Women (1994),Little Women 
266,Legends of the Fall (1994),Legends of the Fall 
290,Once Were Warriors (1994),Once Were Warriors 
300,Quiz Show (1994),Quiz Show 
344,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective 
364,"Lion King, The (1994)","Lion King, The "
380,True Lies (1994),True Lies 
410,Addams Family Values (1993),Addams Family Values 
474,In the Line of Fire (1993),In the Line of Fire 
515,"Remains of the Day, The (1993)","Remains of the Day, The "
531,"Secret Garden, The (1993)","Secret Garden, The "
534,Shadowlands (1993),Shadowlands 
589,Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day 
594,Snow White and the Seven Dwarfs (1937),Snow White and the Seven Dwarfs 
597,Pretty Woman (1990),Pretty Woman 
2,Jumanji (1995),Jumanji 
4,Waiting to Exhale (1995),Waiting to Exhale 
5,Father of the Bride Part II (1995),Father of the Bride Part II 
7,Sabrina (1995),Sabrina 
8,Tom and Huck (1995),Tom and Huck 
10,GoldenEye (1995),GoldenEye 
11,"American President, The (1995)","American President, The "
13,Balto (1995),Balto 
15,Cutthroat Island (1995),Cutthroat Island 
16,Casino (1995),Casino 
17,Sense and Sensibility (1995),Sense and Sensibility 
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls 
22,Copycat (1995),Copycat 
24,Powder (1995),Powder 
25,Leaving Las Vegas (1995),Leaving Las Vegas 
26,Othello (1995),Othello 
27,Now and Then (1995),Now and Then 
41,Richard III (1995),Richard III 
43,Restoration (1995),Restoration 
46,How to Make an American Quilt (1995),How to Make an American Quilt 
54,"Big Green, The (1995)","Big Green, The "
60,"Indian in the Cupboard, The (1995)","Indian in the Cupboard, The "
61,Eye for an Eye (1996),Eye for an Eye 
62,Mr. Holland's Opus (1995),Mr. Holland's Opus 
65,Bio-Dome (1996),Bio-Dome 
66,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace 
76,Screamers (1995),Screamers 
79,"Juror, The (1996)","Juror, The "
86,White Squall (1996),White Squall 
87,Dunston Checks In (1996),Dunston Checks In 
88,Black Sheep (1996),Black Sheep 
89,Nick of Time (1995),Nick of Time 
92,Mary Reilly (1996),Mary Reilly 
93,Vampire in Brooklyn (1995),Vampire in Brooklyn 
95,Broken Arrow (1996),Broken Arrow 
100,City Hall (1996),City Hall 
102,Mr. Wrong (1996),Mr. Wrong 
104,Happy Gilmore (1996),Happy Gilmore 
105,"Bridges of Madison County, The (1995)","Bridges of Madison County, The "
112,Rumble in the Bronx (Hont faan kui) (1995),Rumble in the Bronx 
113,Before and After (1996),Before and After 
135,Down Periscope (1996),Down Periscope 
140,Up Close and Personal (1996),Up Close and Personal 
141,"Birdcage, The (1996)","Birdcage, The "
145,Bad Boys (1995),Bad Boys 
146,"Amazing Panda Adventure, The (1995)","Amazing Panda Adventure, The "
158,Casper (1995),Casper 
159,Clockers (1995),Clockers 
160,Congo (1995),Congo 
161,Crimson Tide (1995),Crimson Tide 
165,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance 
168,First Knight (1995),First Knight 
170,Hackers (1995),Hackers 
174,Jury Duty (1995),Jury Duty 
177,Lord of Illusions (1995),Lord of Illusions 
179,Mad Love (1995),Mad Love 
180,Mallrats (1995),Mallrats 
181,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie 
185,"Net, The (1995)","Net, The "
186,Nine Months (1995),Nine Months 
189,Reckless (1995),Reckless 
191,"Scarlet Letter, The (1995)","Scarlet Letter, The "
195,Something to Talk About (1995),Something to Talk About 
196,Species (1995),Species 
201,Three Wishes (1995),Three Wishes 
204,Under Siege 2: Dark Territory (1995),Under Siege 2: Dark Territory 
